Judo, 1964, Japan, 3
Judo, 1964, Netherlands, 1
Judo, 1972, Japan, 3
Judo, 1972, Netherlands, 2
Judo, 1972, Soviet Union, 1
Judo, 1976, Cuba, 1
Judo, 1976, Japan, 3
Judo, 1976, Soviet Union, 2
Judo, 1980, Belgium, 1
Judo, 1980, East Germany, 1
Judo, 1980, France, 2
Judo, 1980, Italy, 1
Judo, 1980, Soviet Union, 2
Judo, 1980, Switzerland, 1
Judo, 1984, Austria, 1
Judo, 1984, Japan, 4
Judo, 1984, South Korea, 2
Judo, 1984, West Germany, 1
Judo, 1988, Austria, 1
Judo, 1988, Brazil, 1
Judo, 1988, France, 1
Judo, 1988, Japan, 1
Judo, 1988, Poland, 1
Judo, 1988, South Korea, 2
Judo, 1992, Brazil, 1
Judo, 1992, China, 1
Judo, 1992, Cuba, 1
Judo, 1992, France, 2
Judo, 1992, Hungary, 1
Judo, 1992, Japan, 2
Judo, 1992, Poland, 1
Judo, 1992, South Korea, 1
Judo, 1992, Spain, 2
Judo, 1992, Unified Team, 2
Judo, 1996, Belgium, 1
Judo, 1996, China, 1
Judo, 1996, Cuba, 1
Judo, 1996, France, 3
Judo, 1996, Germany, 1
Judo, 1996, Japan, 3
Judo, 1996, North Korea, 1
Judo, 1996, Poland, 1
Judo, 1996, South Korea, 2
Judo, 2000, China, 2
Judo, 2000, Cuba, 2
Judo, 2000, France, 2
Judo, 2000, Italy, 1
Judo, 2000, Japan, 4
Judo, 2000, Netherlands, 1
Judo, 2000, Spain, 1
Judo, 2000, Turkey, 1
Judo, 2004, Belarus, 1
Judo, 2004, China, 1
Judo, 2004, Georgia, 1
Judo, 2004, Germany, 1
Judo, 2004, Greece, 1
Judo, 2004, Japan, 8
Judo, 2004, South Korea, 1
Judo, 2008, Azerbaijan, 1
Judo, 2008, China, 3
Judo, 2008, Georgia, 1
Judo, 2008, Germany, 1
Judo, 2008, Italy, 1
Judo, 2008, Japan, 4
Judo, 2008, Mongolia, 1
Judo, 2008, Romania, 1
Judo, 2008, South Korea, 1
Judo, 2012, Brazil, 1
Judo, 2012, Cuba, 1
Judo, 2012, France, 2
Judo, 2012, Georgia, 1
Judo, 2012, Japan, 1
Judo, 2012, North Korea, 1
Judo, 2012, Russia, 3
Judo, 2012, Slovenia, 1
Judo, 2012, South Korea, 2
Judo, 2012, United States, 1
archery, 1972, United States, 2
archery, 1976, United States, 2
archery, 1980, Finland, 1
archery, 1980, Soviet Union, 1
archery, 1984, South Korea, 1
archery, 1984, United States, 1
archery, 1988, South Korea, 1
archery, 1988, United States, 1
archery, 1992, France, 1
archery, 1992, South Korea, 1
archery, 1996, South Korea, 1
archery, 1996, United States, 1
archery, 2000, Australia, 1
archery, 2000, South Korea, 1
archery, 2004, Italy, 1
archery, 2004, South Korea, 1
archery, 2008, China, 1
archery, 2008, Ukraine, 1
archery, 2012, South Korea, 2
